user_id,username,nickname,discussion_count,post_count,upvotes_given,downvotes_given,upvotes_received,downvotes_received,haha_given,wtf_given,tuga_given,haha_received,wtf_received,tuga_received
80,ana,anci,3,112,82,0,87,3,0,0,1,8,0,3
81,Ena43,,0,25,25,1,14,0,1,0,1,0,0,0
82,JBear,,1,66,73,8,114,1,19,0,1,1,6,13
83,future,,0,6,19,1,0,0,8,0,0,0,0,0
84,rtnbot,Sharba10,1,33,41,8,14,0,10,3,0,8,0,1
85,mAcaLukas,mAca Lukas,2,2751,6165,35,10271,97,9213,277,260,9356,272,609
86,Paradoxery,,0,0,0,0,0,0,0,0,0,0,0,0
87,Lovren97,,0,44,9,1,54,0,1,0,1,40,0,3
88,Zlp,,0,1,0,0,0,0,0,0,0,0,0,0
89,STAGGER_LEE,,1,1185,1936,47,3938,21,946,37,273,3373,39,150
90,Uchenikowitz,Učečuču,5,309,1206,15,832,8,990,25,98,720,24,61
91,I3loodHound,,1,40,10,0,24,1,2,0,1,0,0,1
92,honduras,,0,3,1,0,2,0,0,0,0,0,0,0
93,xeqte,,2,59,246,8,108,1,74,3,7,56,2,20
94,Watson,112,1,21,393,52,7,1,108,4,6,3,1,0
95,FICHEKK,,0,70,139,7,153,25,46,1,4,34,2,2
96,mrfant,,0,11,10,1,14,0,3,0,0,4,0,1
97,LucidDreamer,,2,414,373,3,281,4,35,1,14,91,4,13
98,medjai,,0,1,3,0,0,0,1,0,0,1,0,0
99,KhuenHedervary,,0,0,0,0,0,0,0,0,0,0,0,0
100,PikachuOnAcid,Kaneki kun,0,110,114,3,120,1,38,1,0,53,1,2
101,yabk,,2,58,97,20,128,0,136,6,12,8,0,2
102,Trolololica,,0,31,178,8,51,3,105,2,17,34,5,2
103,Murin,,2,875,2586,17,2469,19,2764,67,265,1797,72,146
104,khm19,ajmemeni5,2,73,19,0,22,0,6,0,2,0,1,3
105,BbR,,0,13,4,0,10,1,2,0,0,0,0,0
106,MalaPumpa,,1,12,13,4,11,0,0,0,1,0,0,0
107,Marenix,,1,235,94,10,281,4,162,11,7,85,4,6
108,allophone,,4,46,319,2,418,1,208,22,32,755,7,37
109,munjoz,,0,0,0,0,0,0,0,0,0,0,0,0
110,Cvija,,10,492,403,5,598,2,71,0,4,19,2,2
111,steve,Mr_mr,1,80,676,11,63,0,80,2,10,8,0,1
112,Rudee,,0,25,8,2,17,0,2,0,1,10,0,2
113,lonelos,,0,16,80,21,8,0,52,6,3,39,0,0
114,aaa8,Gerti,1,273,85,2,74,8,13,1,9,44,2,1
115,Grdobina2000,Grdobina,3,162,310,76,216,77,150,1,9,64,7,1
116,rA9,,0,3,14,0,1,0,1,0,0,0,0,0
117,Vulama,,0,3,0,0,0,0,0,0,0,0,0,0
118,Daho_Cro,,7,153,379,6,260,6,24,1,16,2,0,1
119,BrownPerson,Bambi,1,67,373,1,140,1,740,26,116,44,5,6
120,Tamburello,Picbangos,0,6,7,0,4,0,1,0,0,0,0,0
121,007,,2,14,8,0,34,0,0,0,0,1,0,0
122,TheCrimsonChin,,0,23,40,2,23,0,10,0,2,5,0,0
124,WSBGOD,,0,0,0,0,0,0,0,0,0,0,0,0
125,Stoja_9,Bije_san_u_autobusu,1,266,151,11,133,15,14,44,17,50,45,22
126,Liftime,,0,5,2,0,2,0,0,0,0,0,0,0
127,WallStreetBets,,0,14,28,1,29,0,5,0,0,29,0,0
128,Danac,,0,35,111,1,59,0,3,0,1,18,0,2
129,login,,1,370,166,3,215,1,66,5,13,18,3,5
130,GetSchwifty,_2D_,0,36,58,2,33,1,12,1,8,13,1,0
131,dd14,,0,25,9,3,21,0,3,0,0,0,1,0
132,Whatsername,,0,8,9,0,17,0,0,0,0,0,0,0
133,nikola,,0,4,4,0,0,0,1,0,0,0,0,0
134,Antuunn,,0,84,21,0,17,0,0,0,1,1,0,0
135,iLabaviUmeDaZabavi,prvi do boga,7,3018,2931,61,5550,257,1281,12,68,3690,158,265
136,Josipa,Zelda,0,35,79,7,30,0,16,3,8,2,0,0
137,meskee,,0,0,0,0,0,0,0,0,0,0,0,0
138,Smeki153,,0,4,2,0,2,0,0,0,0,0,0,0
139,elbarto,,1,17,47,4,31,0,14,0,3,0,0,0
140,KingGeedorah,King Geedorah,1,190,297,4,575,5,331,2,18,421,9,37
141,DariolaVremenskiPutnik,,5,99,192,24,179,0,79,0,1,29,0,1
142,Jezza,Clarkson,1,84,263,0,92,0,491,4,16,41,9,0
143,JogaBonito,,0,34,52,4,27,0,2,0,0,0,0,0
144,kix,,0,27,37,0,77,0,0,0,0,0,0,0
145,bob,,0,7,50,0,11,0,11,0,1,0,0,0
146,adrian7000,,10,411,562,26,729,18,182,1,8,239,32,14
147,mv52771,,0,14,0,0,2,5,0,0,0,2,2,0
148,Mirta,,0,0,1,1,0,0,0,0,0,0,0,0
149,aws,,0,0,0,0,0,0,0,0,0,0,0,0
150,MT09,mt09,2,45,109,1,25,0,7,0,6,0,0,0
151,harry_pointer,,0,11,15,0,30,0,0,0,0,0,0,0
152,Reska,,0,0,0,0,0,0,0,0,0,0,0,0
153,RS7,,3,180,534,11,126,1,458,9,56,99,1,9
154,disho,,1,8,3,0,12,0,0,0,0,0,0,0
155,moukie,,10,536,183,0,119,3,16,2,3,29,0,8
156,krinka,,0,2,0,0,1,0,0,0,0,0,0,0
157,Yasuke,Bono,4,145,109,0,71,1,1,0,0,0,0,0
158,PeanutMaster1801,caca,1,174,117,2,92,1,15,0,3,5,7,8
159,Conrad,,0,22,119,1,3,0,0,0,0,0,0,0
160,Gulbash,,0,63,1367,7,106,5,941,30,200,51,1,23
161,Nisamskolovala,,0,4,0,0,9,0,0,0,0,0,0,0
162,Paradajz959,,0,2,0,0,0,0,0,0,0,0,0,0
163,Heklijo,Geralt of Rivia,7,153,123,60,180,3,67,15,22,80,1,0
164,Jurica,,0,2,16,9,1,0,6,0,2,0,0,0
165,indythedog,,6,328,1313,1,315,0,534,6,39,66,0,3
166,Widlar,,0,168,275,33,354,8,225,2,4,233,7,5
167,enmari,,0,0,0,0,0,0,0,0,0,0,0,0
169,LocDog,,0,92,126,57,262,18,67,0,2,103,0,2
170,sane_insane,,0,2,151,18,0,0,320,9,47,2,0,0
171,Dr_Flare,,0,28,30,20,34,0,12,1,3,18,0,19
172,jlo,,0,75,144,10,45,0,52,7,7,23,0,4
173,njofra,,0,253,176,10,686,2,73,7,13,146,17,33
174,joc,,0,6,165,2,10,0,66,3,12,0,0,0
176,Mariosss77,Trevor,0,4,12,0,4,0,0,1,0,0,0,0
177,hrcohrco,KigacMigac,0,9,1,0,4,0,0,0,0,0,0,0
178,Valentino,,4,131,184,6,213,0,34,2,11,2,3,3
179,Hrle,,0,23,16,1,30,1,16,0,2,17,0,1
180,Astronaut,,0,52,18,3,65,3,13,0,6,0,0,0
181,Darla,,1,46,263,14,24,11,74,0,12,2,0,7
182,weedran,,0,0,0,0,0,0,0,0,0,0,0,0
183,Icy,,0,4,6,0,0,0,3,0,0,0,0,0
184,Thedoctor,Rolo balarica,5,125,84,85,212,28,3,0,0,295,8,57
185,Zuzu,Coffe123,0,49,26,1,30,0,0,0,0,0,0,4
186,Vonj,,0,128,297,7,379,1,175,30,32,353,4,25
187,HarperLee,,0,1,0,0,2,0,0,0,0,0,0,0
188,Paladin,Bog Igre,0,4,4,0,1,0,1,0,0,0,0,0
189,SuperSjajan3,,2,237,579,32,611,3,200,5,32,327,17,27
190,NekocBraca,,2,121,1814,34,253,1,3949,163,523,38,3,5
191,Ruleta,,1,41,121,3,37,0,29,0,5,0,0,0
192,Kapulica,,0,10,3,1,0,0,0,0,0,0,0,0
193,Sele,,0,5,30,0,2,0,17,0,4,0,0,0
194,ZliDule,,0,9,109,12,7,0,14,1,4,0,0,0
195,rjednakoR,,1,91,7,0,16,0,0,0,0,14,0,2
196,Nocna_smjena,,10,809,346,2,1086,60,256,0,27,272,12,90
197,Schm0sby,,0,16,21,1,17,0,12,2,2,1,0,0
198,Rigss,,0,0,0,2,0,0,0,0,0,0,0,0
199,AcoSofronijevic,,0,33,26,0,31,0,22,0,0,2,0,1
200,ivicato,,2,117,689,115,214,15,1252,63,51,173,7,26
201,mrleongalaxyum,Neovlašteni serviser,5,159,97,5,207,16,19,1,2,180,5,10
202,TheMario77,Sett,0,11,5,0,0,0,1,0,0,0,0,0
204,ljama_glama,,9,148,171,2,183,0,25,2,10,1,0,0
205,RedJohn,Angela Martin,4,94,82,0,64,0,14,1,3,14,0,20
206,Filemon,,14,4032,25771,501,12271,160,27995,1044,2863,7870,255,601
207,ragnar,,0,0,0,0,0,0,0,0,0,0,0,0
208,ViBorg,,5,1786,4738,79,2335,144,7081,193,367,2985,190,244
209,maranmaran,,0,0,0,0,0,0,0,0,0,0,0,0
210,ice,,0,41,88,5,48,3,14,3,1,0,0,1
211,Buraz,,0,0,2,0,0,0,0,0,0,0,0,0
212,LongArmedJohhny,LongArmedJohnny,0,111,32,5,94,12,4,0,2,87,2,3
213,rebinjo,,0,47,34,0,15,0,5,0,0,1,0,0
214,monky,,0,4,2,0,3,0,0,0,0,0,0,1
215,ErnestHemingway,Alfetta,3,562,219,17,717,23,288,12,52,307,18,51
216,Exelero,,4,97,128,8,67,0,43,3,7,24,0,1
217,DragonCat,,0,1,0,0,1,0,0,0,0,0,0,0
218,Theanko,Mirko Žmirko,0,41,49,0,53,1,48,0,3,2,2,0
219,Portus,,1,7,132,32,2,0,66,2,11,0,0,0
220,Gocc,***,1,372,252,1,216,2,11,0,7,12,0,15
221,Chimera,,0,9,8,5,10,0,0,0,0,0,0,0
222,tinvickovic,augusteen,2,72,183,10,234,5,49,6,15,138,19,7
223,keykey,,4,205,200,6,205,4,126,5,17,33,3,35
224,Juren,,0,27,887,163,50,19,917,25,48,6,0,0
225,tomekbeli420,,3,339,98,1,1100,3,77,0,17,428,5,27
226,fraki,,0,3,67,0,3,0,12,0,1,0,0,0
227,amnael,,0,62,1978,35,179,22,3037,159,370,51,10,22
228,mini_batman,,0,35,14,0,21,0,3,0,0,0,0,0
229,feudalac,,0,88,157,0,86,2,7,1,4,5,9,16
230,hobbit,,4,61,19,0,73,4,0,0,0,13,0,0
231,member,,4,230,1945,69,154,2,710,24,57,7,4,0
232,hrljavi_caval,rljaviČaval,2,66,355,2,119,3,193,14,21,20,7,1
233,G-bear,,1,1543,1676,29,6777,104,3635,14,70,10226,165,283
234,Amariska,,0,465,1420,47,1166,9,2303,31,152,587,33,73
235,faboche,him,1,142,28,0,130,0,2,0,0,6,0,3
236,astral,malebra,0,9,3,0,6,1,2,2,1,8,1,0
237,loo,,0,7,2,1,3,0,0,0,0,0,0,0
238,Toni,,2,19,12,0,11,0,1,0,0,0,0,0
239,jadzia-dax,Jadzia Dax,12,2841,780,11,6349,115,798,24,85,4542,107,438
240,ijsfd,,0,0,0,0,0,0,0,0,0,0,0,0
241,RogA,,0,0,0,0,0,0,0,0,0,0,0,0
242,gladiator,,9,722,2422,136,1120,27,1165,32,196,745,14,84
243,Tootha,,1,46,37,2,72,0,14,0,3,13,0,4
244,milivoj_98,,0,1,1,0,0,0,0,0,0,0,0,1
245,Bisenberg,DonaldPump,2,108,127,1,163,1,94,0,3,93,1,3
246,MrBerglas,,1,30,38,1,46,0,13,0,2,2,0,0
247,GoRun,,0,7,8,0,13,0,5,0,0,0,0,4
248,jedo103,,0,2,3,0,0,0,0,0,0,0,0,0
249,pepa,,6,62,42,2,37,0,3,0,3,1,0,0
250,mgd,,13,255,120,0,136,0,9,0,5,12,0,6
251,vans,,0,0,0,0,0,0,0,0,0,0,0,0
252,HotPotato,,4,89,136,4,284,5,156,10,15,371,4,14
253,nekomutativna,,3,18,1,0,24,0,0,0,0,5,0,0
254,Rope,Rops,0,121,424,13,169,6,64,4,23,42,1,3
255,Rene,,9,546,511,3,990,9,206,2,30,609,18,33
256,GTX9800,,1,226,480,2,523,6,449,3,50,548,22,26
258,McKovalski,,0,650,1748,62,1393,32,3593,79,223,3225,185,105
259,Satanael,,0,4,72,1,31,0,5,2,3,0,0,0
260,Haki,,3,156,164,1,68,1,490,5,19,41,0,0
261,Molnar,,0,0,12,2,0,0,5,1,0,0,0,0
262,Pecho,,0,0,0,0,0,0,0,0,0,0,0,0
263,jerry97,,0,0,0,0,0,0,0,0,0,0,0,0
264,helenic,,0,82,32,0,113,0,1,0,0,3,0,2
265,Sans,,0,62,241,4,178,0,642,9,48,79,3,2
266,hermanzdosilovic,,2,9,7,2,32,0,7,0,0,20,2,0
267,Longclaw,,0,14,64,1,5,0,0,0,0,0,0,0
268,Svarog,Veles,5,1886,21115,307,5046,61,23059,494,1681,6328,427,908
269,iNavy,mornar Ica,26,1447,2099,60,2681,22,3823,144,757,1857,102,283
270,zlatnimedo,,0,7,6,0,5,0,12,0,0,0,0,0
271,uvik_skerci,,0,1,1,0,4,0,0,0,0,0,0,0
272,Erpeg,,4,239,217,4,150,2,162,7,16,79,2,10
273,netflix,seximan,14,1098,462,37,658,66,216,14,73,407,36,43
274,rc51678,rc,0,0,0,0,0,0,0,0,0,0,0,0
275,GileTheGreat,,0,48,33,0,43,0,36,1,2,10,0,9
276,Mioch,,9,511,10131,51,569,3,15140,260,1494,280,11,100
277,Spookbuster,,2,23,105,64,22,1,5,0,0,0,6,0
278,Artemis,,4,278,154,0,113,0,11,0,1,11,0,14
279,LaraL,,1,43,12,0,10,0,0,0,1,0,0,0
280,LauraPalmer,,0,2,25,5,4,1,0,0,0,9,0,0
281,Zabe,,2,123,62,3,113,0,2,0,0,1,0,0
282,Emma63194,,10,3289,7727,286,8084,149,7234,149,1568,4903,144,951
283,Urmum,mamaRu,1,72,304,1,45,0,29,0,9,7,2,2
284,Suki7,,1,215,737,14,323,5,297,18,83,38,3,16
285,Retard00,,3,552,1269,7,1424,6,247,1,3,1149,29,125
286,Jale,čakijale,1,178,2922,112,593,9,1307,15,67,531,5,31
287,caffeine,,0,229,137,2,350,15,140,13,22,107,20,61
288,Kext,,0,0,3,0,0,0,0,0,0,0,0,0
289,antimon,,0,4,10,0,2,0,12,0,1,0,0,0
290,Marko,,0,76,55,9,128,3,33,1,2,28,2,16
291,vpaunov,,0,0,0,0,0,0,0,0,0,0,0,0
293,pero122,teslaFan,24,175,230,1,193,2,4,0,2,35,0,1
294,Rogue,Fidel Catto,0,16,16,0,8,0,5,1,0,1,0,0
295,Ksai8,,0,4,150,0,2,0,20,0,0,0,0,0
296,howe892,dado,1,43,81,0,10,0,2,0,0,2,12,0
297,Semofcanec,,3,340,345,1,611,4,34,0,7,216,2,16
298,Kasperinac,,4,41,181,13,24,1,45,1,10,0,0,1
299,Apex,,0,4,25,4,2,0,4,0,2,0,0,0
300,Tinx,pingvin,0,67,322,4,54,0,93,2,24,0,0,0
301,Mrcina,Yoso,0,27,455,119,6,0,277,46,84,1,1,1
302,_xXx_Matej_xXx_,Mateejj,0,7,22,1,23,0,5,0,0,0,0,0
303,Zmayo,,0,40,6,0,67,2,5,0,0,36,3,1
304,bubbly,,1,6,2,0,2,0,2,0,0,0,0,0
305,otacon,senpai,0,112,259,24,223,12,74,3,8,134,29,54
306,plop,,0,0,59,2,0,0,12,0,0,0,0,0
307,tovar,,0,6,5,0,3,0,1,0,1,0,0,0
308,WhiteMamba,,0,8,41,0,19,0,12,0,0,0,0,0
309,WickyWinslow,,2,103,494,34,194,0,198,7,38,32,4,15
310,tranquility,,2,66,75,0,74,0,13,0,1,6,0,1
311,emojp,,0,3,0,0,0,0,0,0,0,0,0,1
312,Phelenor,,0,8,3,1,2,0,0,0,1,0,0,0
313,fairlyamusing,,0,49,71,0,15,1,0,0,1,1,0,1
314,Angie,Zvetlana,0,6,4,0,1,0,0,0,0,1,0,0
315,freshwaffle,,0,3,5,0,16,0,2,0,0,1,0,0
316,Dekan,,0,67,37,0,37,4,131,0,1,5,0,1
317,aKul,Vili Beroš,3,48,30,8,34,0,5,0,0,47,0,1
318,ink,,2,1147,10863,185,3357,67,6911,327,713,2859,164,594
319,cajaznun,,0,8,283,15,17,0,124,1,18,0,0,0
320,PrisonMike,Števo,0,267,703,14,511,7,157,1,10,64,15,4
321,CholoMed,,0,0,0,0,0,0,0,0,0,0,0,0
322,5arm,Miroljub Petrovic,3,140,137,14,126,5,72,0,2,214,7,20
323,Crotta,Točak,1,97,70,0,88,0,9,0,2,13,4,17
324,turunturu,Cement,1,391,4879,18,826,18,12478,207,758,1286,32,151
325,XiJinping,JusufBideni ,0,12,4,0,21,0,32,0,2,7,0,6
326,truba,,0,0,0,0,0,0,0,0,0,0,0,0
327,ZvonkoSisoje,,2,173,899,5,811,4,1247,15,126,561,17,26
328,leo,tajler,0,23,41,0,22,0,4,1,0,23,0,0
329,Ak08,obama,3,132,454,20,85,0,50,7,19,18,4,6
330,KurtCobanana,Gosp. Odin,0,31,35,4,16,0,6,2,1,3,0,0
331,verratti,Rom Jova (Željezo/bakar),1,487,652,1,253,1,30,3,3,8,4,12
332,vidovice,ab332,1,20,6,0,6,0,0,0,0,0,0,1
333,trequartista,,0,2,4,1,1,0,0,0,0,0,0,0
334,Loudwire,,0,6,0,1,0,0,0,0,0,0,0,0
335,Dora3,Dory,0,11,6,0,20,0,0,0,0,1,0,0
336,JoKing,,1,447,968,57,1834,67,259,1,47,1402,21,71
337,Nina1712,pocahontas,0,12,8,0,3,0,1,0,1,0,0,0
338,kaaj,zdravko,0,3,6,0,1,0,2,0,0,0,0,0
339,DocHoc,,1,39,7,0,16,0,0,0,0,0,0,0
341,lup,,5,1172,885,30,3574,94,981,74,165,2934,69,207
342,Anavi,,0,13,53,2,33,0,175,0,14,0,19,0
343,idontwannabemyself,,0,106,445,4,323,1,89,7,30,7,0,27
344,laranotreallycroft,,3,236,502,3,241,3,77,8,56,25,6,6
345,thelulu,,0,2,1,0,0,0,0,0,0,0,0,0
347,ab1601,,0,0,0,0,0,0,0,0,0,0,0,0
348,Lyras,,6,1704,11977,126,4795,58,17082,350,1207,3964,89,296
349,m14246,,1,14,23,0,8,0,0,0,0,0,0,0
350,if------,,0,0,9,0,0,0,1,0,0,0,0,0
351,Galke,,0,6,760,7,14,0,191,0,9,0,0,0
352,chuuya,temari,8,276,517,1,379,3,55,2,10,99,9,31
353,Emi,,0,0,0,0,0,0,0,0,0,0,0,0
354,pitroid,,0,70,483,7,505,3,293,10,42,59,0,9
355,prodanacro,oat,0,74,43,7,54,0,28,1,3,2,0,2
357,bufus,,0,45,14,0,45,0,3,0,2,3,7,5
358,Mariox,,7,341,144,13,429,9,175,11,35,751,15,50
359,Diksi,Biza don Kruševca,0,0,0,0,0,0,0,0,0,0,0,0
360,neytiri,,0,7,9,0,6,0,0,0,2,0,0,0
361,Propalica,,0,11,329,30,14,0,195,5,23,0,0,0
362,Gino20,,2,95,42,0,18,0,1,0,0,9,0,9
363,zden,,0,0,0,0,0,0,0,0,0,0,0,0
364,v-v,,0,13,93,4,41,0,336,14,28,88,2,1
365,Paulie_Walnuts,,0,15,8,0,13,0,0,0,0,0,0,0
366,PopeTrenaddict,,0,0,1,0,0,0,0,0,0,0,0,0
367,JoYiSeo,Bang,0,47,48,0,70,1,18,2,15,9,4,10
368,vjeva,,0,36,46,4,63,0,9,0,2,9,1,0
369,Dea,,0,0,0,0,0,0,0,0,0,0,0,0
370,Masovna_Tuca_Ispred_D1,,0,10,10,0,31,0,2,0,3,50,1,1
371,cvitaa,,0,11,1,0,3,0,0,0,0,0,0,0
372,Iva,,0,7,0,0,1,0,0,0,0,0,0,0
373,TrashMan,,0,4,0,1,3,0,0,0,0,2,0,0
374,DaL,,2,40,21,0,16,0,0,0,0,2,1,0
375,Belfort,,0,12,49,0,27,0,28,1,4,8,0,0
376,Filozof,,2,13,28,0,24,1,1,2,2,1,0,0
377,Systematic,Firecracker,4,243,55,0,365,7,25,0,1,81,5,53
378,Lusy,MGJ,4,283,727,0,182,4,134,1,23,75,1,11
379,Dream_Koala,,1,30,8,0,50,0,0,0,0,19,0,8
380,awi,đusi,0,33,178,2,74,1,185,3,37,47,0,1
381,lucylu,,1,159,382,1,183,0,30,1,27,6,1,0
382,galiuskas24,,0,1,1,0,0,0,0,0,0,0,0,0
383,VM99,MV18,0,4,5,0,0,0,1,0,0,0,0,0
384,svemia,bearyn,2,86,52,0,63,1,3,0,2,3,0,2
385,MiqeloS,,2,218,689,35,554,8,275,7,52,303,3,27
386,fimm,,0,7,4,0,1,0,0,0,0,0,0,0
387,Markicak,,0,8,3,0,0,0,5,0,0,0,0,0
388,topla_hladetina,,0,1,13,2,0,0,1,0,1,0,0,0
389,Trava,,2,86,871,79,97,9,424,1,9,99,2,8
390,sassyblonde,,1,12,1,0,5,0,0,0,0,0,0,1
391,seni,ina,0,106,143,10,59,0,28,1,10,5,1,5
392,Ellie,,0,85,166,0,52,1,25,0,5,1,0,3
393,DimiCar,,0,3,4,0,2,0,2,0,0,0,0,0
394,Worly,,3,41,170,11,54,0,122,3,13,24,0,0
395,Mike,Klaud Konzultanta,16,1240,519,6,3446,29,127,8,26,1578,33,312
396,Kum,,1,88,80,0,68,0,50,3,17,3,2,2
397,bunjee,,0,4,4,0,0,0,0,1,0,0,0,0
398,Black_Mamba,,9,131,48,2,144,7,15,0,3,85,4,19
399,maPre,,1,111,1068,3,285,1,460,0,24,39,4,2
400,SBolsec,Marko218,2,18,19,0,78,0,0,0,0,1,0,15
401,Franksta,,0,32,83,7,27,0,10,0,3,0,0,0
402,barbarasherry,,1,35,15,0,13,0,1,0,1,0,1,1
403,Rendom,,0,4,29,0,1,0,7,0,0,0,0,2
404,GranAutismo,,0,410,1438,27,645,12,2010,94,118,380,6,62
405,markoo321,Grinch,1,235,1421,51,209,177,2305,62,127,313,12,10
406,BrankoBrancin,,0,72,116,6,74,1,3,1,2,8,0,1
407,bombona,,0,0,0,0,0,0,0,0,0,0,0,0
408,Stosdenfer,,0,13,23,0,62,0,27,0,1,6,0,0
409,triespe,,0,40,115,25,42,6,22,2,2,3,0,1
410,ante38,,0,8,9,1,6,0,3,0,0,0,0,0
